"n","B","j","delta_lambda","kappa_IM","psi_delta","se_delta","lower_delta","upper_delta"
500,1,1,0.0620869101381736,114358408.522371,1.71403553261727,0.0925702632599264,1.53259781662781,1.89547324860673
500,2,1,0.0484339755786149,14721937.3831018,1.67919581339583,0.110147259500678,1.4633071847745,1.89508444201716
500,3,1,0.0480079796715103,37221530.3700504,1.95639895724023,0.0932531936776414,1.77362269763205,2.1391752168484
500,4,1,0.0715129787123628,159009.242107086,1.72183910754425,0.100640082570784,1.52458454570551,1.91909366938298
500,5,1,0.0612336106726085,461662.836304398,1.71714607375449,0.0860653476925922,1.548457992277,1.88583415523197
500,6,1,0.0545961325230043,1.08357369777453e+23,1.74916628022687,0.0860659878789645,1.5804769439841,1.91785561646964
500,7,1,0.0418635336873857,548272569.994495,1.62103645681846,0.134909273489144,1.35661428077974,1.88545863285718
500,8,1,0.0509770456482167,50336.3931346155,1.38512062854395,0.0913138236254032,1.20614553423816,1.56409572284974
500,9,1,0.0418265683978736,1.66792176990706e+23,1.69677632807761,0.124001937788641,1.45373253001188,1.93982012614335
500,10,1,0.0243436076015422,8804593.66083636,1.88512073486862,0.0942178499013407,1.70045374906199,2.06978772067525
500,11,1,0.0597063648943737,8.30171905179878e+22,1.76108884806423,0.0853296259065812,1.59384278128733,1.92833491484113
500,12,1,0.0273287845692185,1655381196.48364,1.84325321911645,0.107473542561282,1.63260507569634,2.05390136253656
500,13,1,0.0962004321042395,851664.672560572,1.87212689003137,0.0912974168517948,1.69318395300185,2.05106982706089
500,14,1,0.0299956737156147,1.01347934546452e+23,1.94621492864798,0.0957084749717784,1.75862631770329,2.13380353959266
500,15,1,0.0339724241924679,2599027.63102693,1.64279424896077,0.0899704941316451,1.46645208046274,1.81913641745879
500,16,1,0.0292629734648071,1.60684894768168e+23,1.63183266432461,0.0858491338639908,1.46356836195118,1.80009696669803
500,17,1,0.0288674283461764,4.38563001013504e+23,1.38149489367485,0.16155265047247,1.06485169874881,1.69813808860089
500,18,1,0.0595168636346633,602670.871393543,1.88016215619649,0.0938781906276897,1.69616090256622,2.06416340982676
500,19,1,0.0765097626282448,421033.461184176,1.7549503607814,0.0799335112689113,1.59828067869434,1.91162004286847
500,20,1,0.0452909288706317,4521160.09007223,1.79278016160785,0.0987164632614264,1.59929589361546,1.98626442960025
500,21,1,0.0365739486146002,32710635.4963869,1.86317028289431,0.0895490319979496,1.68765418017833,2.03868638561029
500,22,1,0.0328167121589679,221985261.191039,1.51076106328438,0.0753612849698186,1.36305294474354,1.65846918182523
500,23,1,0.0616098345926824,40379616.8873659,1.57254554530348,0.116226766617772,1.34474108273265,1.80035000787431
500,24,1,0.0487597706204637,11613290.3344169,1.3232251416986,0.0827371759865241,1.16106027676501,1.48539000663219
500,25,1,0.0513096687223324,4.46186149930055e+22,1.81975951028585,0.087113961727978,1.64901614529901,1.99050287527269
500,26,1,0.0442516348752084,6.14295626957132e+22,1.5725538616953,0.0869140762267142,1.40220227229094,1.74290545109966
500,27,1,0.0586756898257429,9932372.69694923,1.52250192538702,0.0860492369723118,1.35384542092129,1.69115842985276
500,28,1,0.034791650391888,6.01631636995847e+21,3.40109533566768,0.225511861500567,2.95909208712657,3.84309858420879
500,29,1,0.0290119157250012,646488660.179218,1.71858153673344,0.232277645812412,1.26331735094111,2.17384572252577
500,30,1,0.0552710434312818,3251340.57534496,1.54632716924493,0.105645344237674,1.33926229453909,1.75339204395077
500,31,1,0.0473998293312309,76156160.4933587,1.57543833263326,0.0884584102974931,1.40205984845017,1.74881681681634
500,32,1,0.0309401303723555,4527743.92999314,1.8886545261274,0.0943267932477872,1.70377401136174,2.07353504089307
500,33,1,0.0392151475245141,99871163290121633792,1.56354596443268,0.108462525291957,1.35095941486044,1.77613251400491
500,34,1,0.0403094412677534,6629515.10749897,1.63857041686987,0.0903582072738254,1.46146833061317,1.81567250312657
500,35,1,0.0285514484394145,14524631.4486251,1.52000077506289,0.0948575116924701,1.33408005214565,1.70592149798013
500,36,1,0.0524621801580034,2.7445877003644e+22,1.62817105555732,0.0876070363574604,1.4564612642967,1.79988084681794
500,37,1,0.0358782823529884,5258799.02811986,1.61905084375166,0.0813053851305512,1.45969228889578,1.77840939860754
500,38,1,0.0536116246503534,3323768.65577174,1.49523528412408,0.107326717205457,1.28487491840139,1.70559564984678
500,39,1,0.0421189234491408,252746399.478338,1.70469081757706,0.090813899733918,1.52669557409858,1.88268606105554
500,40,1,0.0353807344568217,232683613.943418,1.65368724203883,0.150460696935809,1.35878427604464,1.94859020803301
500,41,1,0.0482715110588823,2.55490270806281e+23,1.84375422200402,0.113165645250552,1.62194955731294,2.0655588866951
500,42,1,0.0760201178878371,44570.3063074628,1.62089009617056,0.0943149685955314,1.43603275772332,1.8057474346178
500,43,1,0.0458726751398719,489992.008578688,1.78141783771661,0.0882681715436199,1.60841222149112,1.95442345394211
500,44,1,0.052741271255509,395818.570794522,1.76300887255692,0.0961727744573548,1.57451023462051,1.95150751049334
500,45,1,0.026130385505641,45967639.3354546,1.60859854128243,0.106762013835396,1.39934499416505,1.8178520883998
500,46,1,0.0529490246953368,106808029.953302,1.73256974338542,0.108762971432905,1.51939431937692,1.94574516739391
500,47,1,0.0293705629195886,16542587.4965152,1.68885803775945,0.106688073467445,1.47974941376325,1.89796666175564
500,48,1,0.0310916071648991,2.70537306811453e+22,1.53979511760567,0.110200085772806,1.32380294949097,1.75578728572037
500,49,1,0.0564663421683404,29227.2756241723,1.61876570292812,0.0846691942289031,1.45281408223947,1.78471732361677
500,50,1,0.027058959580415,159835682.044569,1.74044666006073,0.101902115937505,1.54071851282323,1.94017480729824
500,51,1,0.0720907345414551,163612.008870132,1.69775238382868,0.0918481627604185,1.51772998481826,1.8777747828391
500,52,1,0.0368344001531606,3.61061375340785e+39,1.78856704000541,0.100151232921827,1.59227062347863,1.98486345653219
500,53,1,0.0401495415331717,212405141256.061,1.77637069914807,0.0894622288556852,1.60102473059093,1.95171666770521
500,54,1,0.0301051388187908,14146866.8950493,1.76933681024052,0.0948588012352217,1.58341355981949,1.95526006066155
500,55,1,0.0314889515006314,7.80730331875542e+22,1.61981915683652,0.0874689528258268,1.4483800092979,1.79125830437514
500,56,1,0.0260945615280313,1.72465713541063e+21,1.90803868608353,0.107561009300509,1.69721910785453,2.11885826431253
500,57,1,0.0278456858817425,1.14451608247588e+23,1.70908048165683,0.0986028943691724,1.51581880869325,1.90234215462041
